#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jun 27 19:32:22 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       SOC_map.ncd
#OUTPUT FILE:      SOC_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -3
#PACKAGE:          csg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
L22,addr<19>,IOB,IO_L43N_GCLK4_M1DQ5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,Instruction<16>,IOB,IO_L38N_M3DQ3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M2,Instruction<27>,IOB,IO_L38P_M3DQ2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M3,Instruction<25>,IOB,IO_L45N_M3ODT_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M4,Instruction<24>,IOB,IO_L45P_M3A3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M5,,IOBM,IO_L47P_M3A0_3,UNUSED,,3,,,,,,,,,
M6,Instruction<1>,IOB,IO_L31P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M7,ALU_Result<30>,IOB,IO_L25N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M8,ALU_Result<25>,IOB,IO_L25P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M9,,,VCCINT,,,,,,,,1.2,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,VCCAUX,,,,,,,,2.5,,,,
M16,Out1<1>,IOB,IO_L58P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M17,Out1<2>,IOB,IO_L58N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M18,addr<14>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M19,addr<15>,IOB,IO_L41N_GCLK8_M1CASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M20,addr<28>,IOB,IO_L46N_FOE_B_M1DQ3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M21,addr<22>,IOB,IO_L45P_A1_M1LDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M22,addr<26>,IOB,IO_L45N_A0_M1LDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,Instruction<14>,IOB,IO_L37N_M3DQ1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N2,,,GND,,,,,,,,,,,,
N3,Instruction<13>,IOB,IO_L37P_M3DQ0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N4,Instruction<29>,IOB,IO_L43P_GCLK23_M3RASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N5,,,VCCO_3,,,3,,,,,2.50,,,,
N6,ALU_Result<24>,IOB,IO_L24N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N7,ALU_Result<26>,IOB,IO_L24P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N8,,,VCCAUX,,,,,,,,2.5,,,,
N9,,,GND,,,,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,Out1<5>,IOB,IO_L60P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N16,Out1<6>,IOB,IO_L60N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N17,,,GND,,,,,,,,,,,,
N18,,,VCCO_1,,,1,,,,,2.50,,,,
N19,addr<27>,IOB,IO_L46P_FCS_B_M1DQ2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N20,addr<23>,IOB,IO_L47P_FWE_B_M1DQ0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N21,,,GND,,,,,,,,,,,,
N22,addr<24>,IOB,IO_L47N_LDC_M1DQ1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P1,Instruction<12>,IOB,IO_L36N_M3DQ9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P2,Instruction<11>,IOB,IO_L36P_M3DQ8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P3,Instruction<28>,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P4,ALU_Result<21>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P5,ALU_Result<28>,IOB,IO_L22N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P6,ALU_Result<23>,IOB,IO_L22P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P7,ALU_Result<27>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P8,ALU_Result<29>,IOB,IO_L23P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCINT,,,,,,,,1.2,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,GND,,,,,,,,,,,,
P15,Out1<9>,IOB,IO_L62P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P16,Out1<10>,IOB,IO_L62N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P17,Out1<17>,IOB,IO_L66P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P18,Out1<18>,IOB,IO_L66N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P19,Out1<13>,IOB,IO_L64P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P20,Out1<14>,IOB,IO_L64N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P21,addr<25>,IOB,IO_L48P_HDC_M1DQ8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P22,addr<29>,IOB,IO_L48N_M1DQ9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,Instruction<10>,IOB,IO_L35N_M3DQ11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
R2,,,VCCO_3,,,3,,,,,2.50,,,,
R3,Instruction<9>,IOB,IO_L35P_M3DQ10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
R4,ALU_Result<22>,IOB,IO_L21N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
R5,,,GND,,,,,,,,,,,,
R6,,,VCCAUX,,,,,,,,2.5,,,,
R7,ALU_Result<14>,IOB,IO_L11N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
R8,,,NC,,,,,,,,,,,,
R9,,,NC,,,,,,,,,,,,
R10,,,VCCAUX,,,,,,,,2.5,,,,
R11,Out2<10>,IOB,IO_L43P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
R12,,,VCCAUX,,,,,,,,2.5,,,,
R13,,,NC,,,,,,,,,,,,
R14,,,VCCINT,,,,,,,,1.2,,,,
R15,Out1<21>,IOB,IO_L68P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R16,Out1<22>,IOB,IO_L68N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R17,Out1<23>,IOB,IO_L70P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R18,,,GND,,,,,,,,,,,,
R19,Out1<24>,IOB,IO_L70N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R20,addr<30>,IOB,IO_L49P_M1DQ10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R21,,,VCCO_1,,,1,,,,,2.50,,,,
R22,addr<31>,IOB,IO_L49N_M1DQ11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T1,Instruction<8>,IOB,IO_L34N_M3UDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T2,Instruction<7>,IOB,IO_L34P_M3UDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T3,Instruction<0>,IOB,IO_L26N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T4,ALU_Result<31>,IOB,IO_L26P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T5,,,NC,,,,,,,,,,,,
T6,,,NC,,,,,,,,,,,,
T7,ALU_Result<9>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T8,ALU_Result<13>,IOB,IO_L11P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
T9,,,VCCO_2,,,2,,,,,2.50,,,,
T10,Out2<14>,IOB,IO_L45P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
T11,Out2<11>,IOB,IO_L43N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
T12,,,NC,,,,,,,,,,,,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,Test_signal<20>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
T15,,,CMPCS_B_2,,,,,,,,,,,,
T16,,,NC,,,,,,,,,,,,
T17,Out1<27>,IOB,IO_L72P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T18,Out1<28>,IOB,IO_L72N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T19,Out1<31>,IOB,IO_L74P_AWAKE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T20,ALU_Result<0>,IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T21,AN<1>,IOB,IO_L50P_M1UDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
T22,AN<0>,IOB,IO_L50N_M1UDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
U1,Instruction<6>,IOB,IO_L33N_M3DQ13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U2,,,GND,,,,,,,,,,,,
U3,Instruction<5>,IOB,IO_L33P_M3DQ12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U4,ALU_Result<19>,IOB,IO_L18P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U5,,,VCCO_3,,,3,,,,,2.50,,,,
U6,ALU_Result<17>,IOB,IO_L13P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U7,,,GND,,,,,,,,,,,,
U8,ALU_Result<11>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
U9,Out2<16>,IOB,IO_L46P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U10,Out2<15>,IOB,IO_L45N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U11,,,VCCAUX,,,,,,,,2.5,,,,
U12,,,NC,,,,,,,,,,,,
U13,,,NC,,,,,,,,,,,,
U14,Test_signal<21>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U15,Test_signal<16>,IOB,IO_L13P_M1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
U16,,,DONE_2,,,,,,,,,,,,
U17,,,NC,,,,,,,,,,,,
U18,,,VCCO_1,,,1,,,,,2.50,,,,
U19,,,NC,,,,,,,,,,,,
U20,Reset,IOB,IO_L51P_M1DQ12_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U21,,,GND,,,,,,,,,,,,
U22,AN<2>,IOB,IO_L51N_M1DQ13_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
V1,Instruction<4>,IOB,IO_L32N_M3DQ15_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V2,Instruction<2>,IOB,IO_L32P_M3DQ14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V3,ALU_Result<20>,IOB,IO_L18N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V4,,,GND,,,,,,,,,,,,
V5,ALU_Result<18>,IOB,IO_L13N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
V6,,,VCCAUX,,,,,,,,2.5,,,,
V7,Out2<24>,IOB,IO_L50P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
V8,,,VCCO_2,,,2,,,,,2.50,,,,
V9,Out2<17>,IOB,IO_L46N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
V10,,,GND,,,,,,,,,,,,
V11,Out2<12>,IOB,IO_L44P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
V12,,,VCCO_2,,,2,,,,,2.50,,,,
V13,Test_signal<10>,IOB,IO_L12P_D1_MISO2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
V14,,,GND,,,,,,,,,,,,
V15,Test_signal<17>,IOB,IO_L13N_D10_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
V16,,,VCCO_2,,,2,,,,,2.50,,,,
V17,Out1<29>,IOB,IO_L73P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
V18,Out1<30>,IOB,IO_L73N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
V19,Out1<25>,IOB,IO_L71P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
V20,Out1<26>,IOB,IO_L71N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
V21,AN<3>,IOB,IO_L52P_M1DQ14_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
V22,AN<4>,IOB,IO_L52N_M1DQ15_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
W1,ALU_Result<10>,IOB,IO_L9N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
W2,,,VCCO_3,,,3,,,,,2.50,,,,
W3,ALU_Result<12>,IOB,IO_L9P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
W4,ALU_Result<5>,IOB,IO_L7P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
W5,,,VCCO_3,,,3,,,,,2.50,,,,
W6,Out2<26>,IOB,IO_L62P_D5_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W7,,,GND,,,,,,,,,,,,
W8,Out2<25>,IOB,IO_L50N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W9,Out2<18>,IOB,IO_L47P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W10,Out2<13>,IOB,IO_L44N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W11,Test_signal<22>,IOB,IO_L29P_GCLK3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W12,Out2<8>,IOB,IO_L42P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W13,Test_signal<11>,IOB,IO_L12N_D2_MISO3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W14,Test_signal<13>,IOB,IO_L16P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W15,Test_signal<14>,IOB,IO_L14P_D11_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W16,,,GND,,,,,,,,,,,,
W17,Test_signal<3>,IOB,IO_L1P_CCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
W18,,,SUSPEND,,,,,,,,,,,,
W19,,,GND,,,,,,,,,,,,
W20,AN<5>,IOB,IO_L53P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
W21,,,VCCO_1,,,1,,,,,2.50,,,,
W22,Out1<0>,IOB,IO_L53N_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
Y1,ALU_Result<4>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
Y2,ALU_Result<3>,IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
Y3,ALU_Result<7>,IOB,IO_L8P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
Y4,ALU_Result<6>,IOB,IO_L7N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
Y5,MemWr,IOB,IO_L65P_INIT_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y6,Out2<27>,IOB,IO_L62N_D6_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y7,Out2<28>,IOB,IO_L63P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y8,Out2<19>,IOB,IO_L47N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y9,Out2<20>,IOB,IO_L48P_D7_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y10,Test_signal<23>,IOB,IO_L29N_GCLK2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y11,Out2<2>,IOB,IO_L31P_GCLK31_D14_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y12,Out2<9>,IOB,IO_L42N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y13,Out2<6>,IOB,IO_L41P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y14,Test_signal<12>,IOB,IO_L16N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y15,Test_signal<8>,IOB,IO_L5P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y16,Test_signal<15>,IOB,IO_L14N_D12_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y17,Test_signal<4>,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y18,Test_signal<5>,IOB,IO_L1N_M0_CMPMISO_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
Y19,Out1<19>,IOB,IO_L67P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
Y20,Out1<20>,IOB,IO_L67N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
Y21,Out1<3>,IOB,IO_L59P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
Y22,Out1<4>,IOB,IO_L59N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
